,Valid,Time,Latitude,Longitude,Altitude,Speed,Address,Attributes,convertion
35,True,2023-09-13 23:48:20,16.9652366,82.2285483,23,9.0 km/h,"16.965237°, 82.228548°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=4.9  hdop=4.800000000000001  power=0.0  battery=3.726  io68=0  operator=40449  odometer=348  distance=4.56  totalDistance=1.83846042E7,9.0
36,True,2023-09-13 23:48:30,16.9653233,82.2284483,24,6.0 km/h,"16.965323°, 82.228448°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=4.9  hdop=4.800000000000001  power=0.0  battery=3.762  io68=0  operator=40449  odometer=362  distance=14.37  totalDistance=1.838461857E7,6.0
37,True,2023-09-13 23:48:31,16.965345,82.2284183,24,7.0 km/h,"16.965345°, 82.228418°",priority=0  sat=5  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=2.7  hdop=2.5  power=0.0  battery=3.759  io68=0  operator=40449  odometer=366  distance=4.0  totalDistance=1.838462257E7,7.0
38,True,2023-09-13 23:48:48,16.9652916,82.2285816,24,8.0 km/h,"16.965292°, 82.228582°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=3.9000000000000004  hdop=3.7  power=0.0  battery=3.738  io68=0  operator=40449  odometer=385  distance=18.38  totalDistance=1.838464095E7,8.0
39,True,2023-09-13 23:48:55,16.9653116,82.2284399,24,7.0 km/h,"16.965312°, 82.228440°",priority=0  sat=5  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=2.6  hdop=2.4000000000000004  power=0.0  battery=3.708  io68=0  operator=40449  odometer=400  distance=15.25  totalDistance=1.83846562E7,7.0
40,True,2023-09-13 23:49:09,16.9653666,82.228395,23,6.0 km/h,"16.965367°, 82.228395°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=3.6  hdop=3.5  power=0.0  battery=3.757  io68=0  operator=40449  odometer=410  distance=7.77  totalDistance=1.838466397E7,6.0
41,True,2023-09-13 23:49:14,16.9653716,82.228355,23,9.0 km/h,"16.965372°, 82.228355°",priority=0  sat=5  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=2.6  hdop=2.4000000000000004  power=0.0  battery=3.702  io68=0  operator=40449  odometer=414  distance=4.3  totalDistance=1.838466827E7,9.0
42,True,2023-09-13 23:49:16,16.9653566,82.2283166,23,10.0 km/h,"16.965357°, 82.228317°",priority=0  sat=5  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=2.7  hdop=2.4000000000000004  power=0.0  battery=3.706  io68=0  operator=40449  odometer=418  distance=4.42  totalDistance=1.838467269E7,10.0
43,True,2023-09-13 23:49:24,16.9653299,82.2282899,23,0.0 km/h,"16.965330°, 82.228290°",priority=0  sat=5  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=2.6  hdop=2.4000000000000004  power=0.0  battery=3.696  io68=0  operator=40449  odometer=424  distance=4.11  totalDistance=1.83846768E7,0.0
44,True,2023-09-13 23:49:34,16.9653233,82.2284316,23,9.0 km/h,"16.965323°, 82.228432°",priority=0  sat=5  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=2.6  hdop=2.4000000000000004  power=0.0  battery=3.733  io68=0  operator=40449  odometer=442  distance=15.11  totalDistance=1.838469191E7,9.0
45,True,2023-09-13 23:49:37,16.9653233,82.2284866,23,8.0 km/h,"16.965323°, 82.228487°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=3.7  hdop=3.5  power=0.0  battery=3.6870000000000003  io68=0  operator=40449  odometer=448  distance=5.86  totalDistance=1.838469777E7,8.0
46,True,2023-09-13 23:49:52,16.9653483,82.2285766,23,6.0 km/h,"16.965348°, 82.228577°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=3.6  hdop=3.5  power=0.0  battery=3.718  io68=0  operator=40449  odometer=461  distance=9.98  totalDistance=1.838470775E7,6.0
